,name,0,1,2,3,4
50,Preferred Bank,"PREFERRED BANCORP, INC.",SEBREE BANKCORP,FREEDOM BANCORP,"PIONEER BANKCORP, INC.",FIRST PIONEER BANK CORP.
51,Independent Bank Group,"INDEPENDENT BANK GROUP, INC.",INDEPENDENT BANK CORP.,INDEPENDENT BANK CORPORATION,INDEPENDENCE BANCCORP,"MIDWEST BANK GROUP, INC."
52,Suncrest Bank,"SUNTRUST BANKS, INC.",NORTHEAST BANCORP,FIRST BANK CORP,"SUNSET BANCORP, INC.",SURREY BANCORP
53,Glacier Bancorp,"GLACIER BANCORP, INC.",LIBERTY BANCORP,SIERRA BANCORP,DELMAR BANCORP,RBB BANCORP
54,FNB,"FNB, INC.",FNB COMPANY,FNB BANCORP,"FNB SHARES, INC.",FNB CORPORATION
55,Lakeland Bancorp,"LAKELAND BANCORP, INC.",SAN BANCORP.,TIMBERLAND BANCORP,HEARTLAND BANCCORP,CORTLAND BANCORP
56,Old Line Bancshares,"OLD LINE BANCSHARES, INC.","ODIN BANCSHARES, INC.","ODEM BANCSHARES, INC.","LINDELL BANCSHARES, INC.","TILDEN BANCSHARES, INC."
57,Prosperity Bancshares,"PROSPERITY BANCSHARES, INC.",SECURITY BANCSHARES CO.,"SECURITY BANCSHARES, INC.",SECURITY BANCSHARES CORPORATION,TRICO BANCSHARES
58,BNC Bancorp,BNC BANCORP,CU BANCORP,NCAL BANCORP,OCB BANCORP,FNB BANCORP
59,BB&T,BB&T CORPORATION,BBS CORP.,"CSB&T BANCORP, INC.","CB&T BANCSHARES, INC.",SVB&T CORPORATION
60,Oak Valley Bancorp,OAK VALLEY BANCORP,"LAKE VALLEY BANCORP, INC.",MISSION VALLEY BANCORP,"KAW VALLEY BANCORP, INC.",OHIO VALLEY BANC CORP.
61,California Bank ofmmerce,SECURITY CALIFORNIA BANCORP,"BANC OF CALIFORNIA, INC.",CALIFORNIA REPUBLIC BANCORP,CANADIAN IMPERIAL BANK OF COMMERCE,"NORTHERN CALIFORNIA BANCORP, INC."
62,Park Sterling,PARK STERLING CORPORATION,STERLING BANCORP,"STERLING BANCSHARES, INC.","MOUNT STERLING BANCORP, INC","STERLING CITY BANCSHARES, INC."
63,Ameris Bancorp,AMERIS BANCORP,AMERIANA BANCORP,AMBANCORP,"USAMERIBANCORP, INC.","AMERICAN BANCORP, INC."
64,Pacific Premier Bancorp,"PACIFIC PREMIER BANCORP, INC.",TRANS PACIFIC BANCORP,PACIFIC ENTERPRISE BANCORP,OREGON PACIFIC BANCORP,HEMET BANCORP
65,CenterState Banks,"CENTERSTATE BANKS, INC.","ROCHESTER STATE BANKSHARES, INC.",STATE BANK CORP.,"CENTRAL-STATE BANCORP, INC.",CENTRAL STATE BANCORPORATION
66,Republic Bancorp,REPUBLIC BANCORP CO.,"REPUBLIC BANCORP, INC.",CALIFORNIA REPUBLIC BANCORP,CU BANCORP,"REPUBLIC FIRST BANCORP, INC."
67,Yadkin Financial,YADKIN FINANCIAL CORPORATION,BNH FINANCIAL,HAINES FINANCIAL CORP,"KLEIN FINANCIAL, INC.","OAK FINANCIAL, INC."
68,Bank of the Ozarks,BANK OF THE OZARKS INC,BANK OF THE CAROLINAS CORPORATION,"BANK OF NOVA SCOTIA, THE","FIRST BANK SHARES OF THE SOUTH EAST, INC.","BANK OF THE JAMES FINANCIAL GROUP, INC."
69,Revere Bank,PINE RIVER BANK CORP.,SEBREE BANKCORP,"DENVER BANKSHARES, INC.",TWO RIVER BANCORP,"EVEREST BANCSHARES, INC."
70,Renasant,RENASANT CORPORATION,"LAURENS BANCORP., LTD.",GENEVA STATE COMPANY,NORTHEAST BANCORP,"FIRSNABANCO, INC."
71,Southern BancShares(NC)Inc,"SOUTHERN BANCSHARES (N.C.), INC.","SOUTHERN BANCSHARES, INC.","FIRST SOUTHERN BANCSHARES, INC.","SOUTHERN BANKSHARES, INC.","CITIZENS SOUTHERN BANCSHARES, INC."
72,Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.",BNH FINANCIAL,HEARTLAND BANCCORP,"OAKLAND FINANCIAL SERVICES, INC."
73,Fidelity Southern,FIDELITY SOUTHERN CORPORATION,"FIDELITY BANCSHARES, INC.","FIDELITY BANCORP, INC.","FIRST SOUTHERN BANCORP, INC.",FIDELITY COMPANY
74,German American Bancorp,"GERMAN AMERICAN BANCORP, INC.",AMERIANA BANCORP,"AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP,ONE AMERICAN CORP.
75,KeyCorp,KEYCORP,BAYLAKE CORP.,KENBANCORP,"ELKCORP, INC.",CENTURY BANK CORP.
76,Seacoast Bankg of Florida,STATE BANK OF INDIA,"COMMUNITY BANK OF SOUTH FLORIDA, INC.","BRANNEN BANKS OF FLORIDA, INC.",COAST BANCORP,"BANK OF NOVA SCOTIA, THE"
77,Cardinal Bankshares,CARDINAL BANKSHARES CORPORATION,"NATIONAL BANKSHARES, INC.","REGIONAL BANKSHARES, INC.","SARDIS BANKSHARES, INC.",JONAH BANKSHARES
78,Bank of the Ozarks,BANK OF THE OZARKS INC,BANK OF THE CAROLINAS CORPORATION,"BANK OF NOVA SCOTIA, THE","FIRST BANK SHARES OF THE SOUTH EAST, INC.","BANK OF THE JAMES FINANCIAL GROUP, INC."
79,United Bankshares,"UNITED BANKSHARES, INC.","UNITED BANCSHARES, INC.","UNION BANKSHARES, INC.","COMMUNITY BANKSHARES, INC.",UNITED SECURITY BANCSHARES
80,BNC Bancorp,BNC BANCORP,CU BANCORP,NCAL BANCORP,OCB BANCORP,FNB BANCORP
81,County Bancorp,TRI-COUNTY BANCORP.,"COUNTY BANCORP, INC.",COUNTY BANK CORP,COMMUNITY BANCORP,"TRI-COUNTY BANCORP, INC."
82,MB Financial,"MB FINANCIAL, INC.","MSB FINANCIAL, INC.",MBT FINANCIAL CORP.,MVB FINANCIAL CORP.,BNH FINANCIAL
83,Hanmi Financial,HANMI FINANCIAL CORPORATION,BNH FINANCIAL,HANA FINANCIAL GROUP INC.,HAINES FINANCIAL CORP,"HARTLAND FINANCIAL, INC."
84,Capital Bank Financial,CAPITAL BANK FINANCIAL CORP.,BNH FINANCIAL,CAPITAL ONE FINANCIAL CORPORATION,"CAPITAL BANCORP, INC.",STATE BANK FINANCIAL CORPORATION
85,WSFS Financial,"WSB FINANCIAL, LTD",FSB FINANCIAL CORP,WVS FINANCIAL CORP.,"FTS FINANCIAL, INC.","GLAASS FINANCIAL, LLC"
86,Great Western Bancorp,"GREAT SOUTHERN BANCORP, INC.",WEST BEND BANCORP.,"EAST WEST BANCORP, INC.",STERLING BANCORP,ALL WEST BANCORP
87,Charter Financial,BNH FINANCIAL,R CORP FINANCIAL,"CEDARSTONE FINANCIAL, INC.",ENTEGRA FINANCIAL CORP.,"EXCHANGE FINANCIAL, INC."
88,BBCN Bancorp,"BBCN BANCORP, INC.",CNB BANCORP,BNC BANCORP,CBB BANCORP,RBB BANCORP
89,BOK Financial,BNH FINANCIAL,BOK FINANCIAL CORPORATION,"CBOA FINANCIAL, INC.",R CORP FINANCIAL,CBT FINANCIAL CORP.
90,Franklin Financial Network,"FRANKLIN FINANCIAL NETWORK, INC.",FRANKLIN FINANCIAL SERVICES CORPORATION,"COMMODORE FINANCIAL NETWORK, INC.","KLEIN FINANCIAL, INC.","OAK FINANCIAL, INC."
91,Pacificmmerce Bank,"PACIFIC PREMIER BANCORP, INC.",TRANS PACIFIC BANCORP,"CAPITAL COMMERCE BANCORP, INC.","COMMERCE BANCORP, INC",OREGON PACIFIC BANCORP
